Species	Common	Category
Triticosecale	Triticale	Domesticated Plant Khouri et al. 2016
Abelmoschus esculentus	Okra	Domesticated Plant Khouri et al. 2016
Actinidea	Kiwi	Domesticated Plant Khouri et al. 2016
Agave fourcroydes	Sisal	Domesticated Plant Other Wikipedia
Agrostis canina	velvet bentgrass	Domesticated Plant GRIN Lawn
Agrostis capillaris	"c(""colonial bentgrass"", ""colonial bent"")"	Domesticated Plant GRIN Lawn
Agrostis castellana	bentgrass	Domesticated Plant GRIN Lawn
Agrostis gigantea	"c(""redtop"", ""black bent"", ""water bentgrass"")"	Domesticated Plant GRIN Lawn
Agrostis idahoensis	"c(""Idaho bentgrass"", ""Idaho redtop"")"	Domesticated Plant GRIN Lawn
Agrostis nebulosa	cloud bentgrass	Domesticated Plant GRIN Lawn
Agrostis stolonifera	"c(""creeping bentgrass"", ""carpet bentgrass"", ""spreading bent"", ""creeping bent"", ""redtop"", ""redtop bent"", ""seaside bentgrass"")"	Domesticated Plant GRIN Lawn
Allium ampeloprasum 	Elephant garlic	Domesticated Plant Vegetable Wikipedia
Allium cepa	Onions	Domesticated Plant Khouri et al. 2016
Allium cepa 	Potato onion	Domesticated Plant Vegetable Wikipedia
Allium porrum	Leeks	Domesticated Plant Khouri et al. 2016
Allium sativum	Garlic	Domesticated Plant Khouri et al. 2016
Allium schoenoprasum	Chives	Domesticated Plant Vegetable Wikipedia
Allium tricoccum	Wild leek	Domesticated Plant Vegetable Wikipedia
Allium wakegi	Spring onion / Scallion	Domesticated Plant Vegetable Wikipedia
Alocasia cucullata	chinese taro	Domesticated Plant GRIN Food
Alocasia macrorrhizos	giant taro	Domesticated Plant GRIN Food
Alpinia galanga	Galangal	Domesticated Plant Vegetable Wikipedia
Anacardium occidentale	Cashew	Domesticated Plant Khouri et al. 2016
Anadara granosa	Blood cockle	Domesticated Aquaculture FAO
Ananas comosus	Pineapples	Domesticated Plant Khouri et al. 2016
Anas platyrhynchos	Domestic Duck	Domesticated Animal FAO
Anethum graveolens	Dill	Domesticated Plant Vegetable Wikipedia
