Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2019","2019","ha","29203","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","711","Anise, badian, fennel, coriander","2019","2019","ha","27562","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","515","Apples","2019","2019","ha","27559","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","526","Apricots","2019","2019","ha","17719","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","44","Barley","2019","2019","ha","84070","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","558","Berries nes","2019","2019","ha","6117","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","569","Figs","2019","2019","ha","3529","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","512","Fruit, citrus nes","2019","2019","ha","3391","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","619","Fruit, fresh nes","2019","2019","ha","5813","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","541","Fruit, stone nes","2019","2019","ha","7748","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","560","Grapes","2019","2019","ha","89593","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","333","Linseed","2019","2019","ha","38323","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","56","Maize","2019","2019","ha","94910","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2019","2019","ha","37136","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","79","Millet","2019","2019","ha","1401","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","234","Nuts nes","2019","2019","ha","1680","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","260","Olives","2019","2019","ha","2148","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","403","Onions, dry","2019","2019","ha","18343","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","490","Oranges","2019","2019","ha","973","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","534","Peaches and nectarines","2019","2019","ha","8076","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","521","Pears","2019","2019","ha","2473","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","223","Pistachios","2019","2019","ha","2171","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","536","Plums and sloes","2019","2019","ha","1144","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","116","Potatoes","2019","2019","ha","57066","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","211","Pulses nes","2019","2019","ha","67114","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2019","2019","ha","127530","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","328","Seed cotton","2019","2019","ha","49371","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","289","Sesame seed","2019","2019","ha","15356","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","723","Spices nes","2019","2019","ha","2502","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","157","Sugar beet","2019","2019","ha","616","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","156","Sugar cane","2019","2019","ha","1653","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","267","Sunflower seed","2019","2019","ha","981","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","463","Vegetables, fresh nes","2019","2019","ha","116970","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","222","Walnuts, with shell","2019","2019","ha","5025","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","567","Watermelons","2019","2019","ha","48298","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","15","Wheat","2019","2019","ha","2334000","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","515","Apples","2019","2019","ha","4407","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","526","Apricots","2019","2019","ha","341","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","44","Barley","2019","2019","ha","2742","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","176","Beans, dry","2019","2019","ha","13550","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","414","Beans, green","2019","2019","ha","980","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","181","Broad beans, horse beans, dry","2019","2019","ha","170","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","358","Cabbages and other brassicas","2019","2019","ha","2023","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","426","Carrots and turnips","2019","2019","ha","423","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","393","Cauliflowers and broccoli","2019","2019","ha","342","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","531","Cherries","2019","2019","ha","2203","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","530","Cherries, sour","2019","2019","ha","3172","Im","FAO data based on imputation methodology"
"QC","Crops","3","Albania","5312","Area harvested","220","Chestnut","2019","2019","ha","2406","","Official data"
