Common,Species,Category
Grass carp,Ctenopharyngodon idellus,Domesticated Aquaculture FAO
Silver carp,Hypophthalmichthys molitrix,Domesticated Aquaculture FAO
Common carp,Cyprinus carpio,Domesticated Aquaculture FAO
Nile tilapia,Oreochromis niloticus,Domesticated Aquaculture FAO
Bighead carp,Hypophthalmichthys nobilis,Domesticated Aquaculture FAO
Crucian carp,Carassius spp.,Domesticated Aquaculture FAO
Catla,Catla catla,Domesticated Aquaculture FAO
Atlantic salmon,Salmo salar,Domesticated Aquaculture FAO
Roho labeo,Labeo rohita,Domesticated Aquaculture FAO
Pangas catfishes nei,Pangasius spp,Domesticated Aquaculture FAO
Milkfish,Chanos chanos,Domesticated Aquaculture FAO
Tilapias nei,Oreochromis,Domesticated Aquaculture FAO
Torpedo-shaped catfishes nei,Clarias spp,Domesticated Aquaculture FAO
Wuchang bream,Megalobrama amblycephala,Domesticated Aquaculture FAO
Rainbow trout,Oncorhynchus mykiss,Domesticated Aquaculture FAO
Black carp,Mylopharyngodon piceus,Domesticated Aquaculture FAO
Snakehead,Channa argus,Domesticated Aquaculture FAO
Whiteleg shrimp,Penaeus vannamei,Domesticated Aquaculture FAO
Red swamp crawfish,Procambarus clarkii,Domesticated Aquaculture FAO
Chinese mitten crab,Eriocheir sinensis,Domesticated Aquaculture FAO
Giant tiger prawn,Penaeus monodon,Domesticated Aquaculture FAO
Oriental river prawn,Macrobrachium nipponense,Domesticated Aquaculture FAO
Giant river prawn,Macrobrachium rosenbergii,Domesticated Aquaculture FAO
Pacific cupped oyster,Crassostrea gigas,Domesticated Aquaculture FAO
Manila Clam,Ruditapes philippinarum,Domesticated Aquaculture FAO
Constricted tagelus,Sinonovacula constricta,Domesticated Aquaculture FAO
Blood cockle,Anadara granosa,Domesticated Aquaculture FAO
Chilean mussel,Mytilus chilensis,Domesticated Aquaculture FAO
Chinese softshell turtle,Trionyx sinensis,Domesticated Aquaculture FAO
Japanese sea cucumber,Apostichopus ,Domesticated Aquaculture FAO
Eucheuma seaweeds nei,Eucheuma,Domesticated Aquaculture FAO
Japanese kelp,Laminaria japonica,Domesticated Aquaculture FAO
Gracilaria seaweeds,Gracilaria,Domesticated Aquaculture FAO
Wakame,Undaria pinnatifida,Domesticated Aquaculture FAO
Elkhorn sea moss,Kappaphycus alvarezii,Domesticated Aquaculture FAO
Nori,Porphyra tenera,Domesticated Aquaculture FAO
Spiny eucheuma,Eucheuma denticulatum,Domesticated Aquaculture FAO
Fusiform sargassum,Sargassum fusiforme,Domesticated Aquaculture FAO
Spirulina nei,Spirulina,Domesticated Aquaculture FAO
,,
#http://www.fao.org/3/i9540en/i9540en.pdf,,
#Table 7 and 8 highest farmed species,,
