Species	Common	Category
Ancylostoma braziliense	Cutaneous larva migrans (CLM)	Human Pathogen Wikipedia
Ancylostoma duodenale and Necator americanus	Hookworm infection	Human Pathogen Wikipedia
Angiostrongylus	Angiostrongyliasis	Human Pathogen Wikipedia
Anisakis	Anisakiasis	Human Pathogen Wikipedia
Ascaris lumbricoides	Ascariasis	Human Pathogen Wikipedia
Aspergillus	Aspergillosis	Human Pathogen Wikipedia
Babesia	Babesiosis	Human Pathogen Wikipedia
Balantidium coli	Balantidiasis	Human Pathogen Wikipedia
Batrachochytrium dendrabatidis	Chytridiomycosis	Human Pathogen Wikipedia
Baylisascaris species	Baylisascaris infection	Human Pathogen Wikipedia
Blastocystis	Blastocystosis	Human Pathogen Wikipedia
Blastomyces dermatitidis	Blastomycosis	Human Pathogen Wikipedia
Borrelia	Lyme disease (Lyme borreliosis)	Human Pathogen Wikipedia
Brugia malayi	Filariasis	Human Pathogen Wikipedia
Candida	Candidiasis (Moniliasis; Thrush)	Human Pathogen Wikipedia
Capillaria	Capillariasis	Human Pathogen Wikipedia
Clonorchis sinensis	Clonorchiasis	Human Pathogen Wikipedia
Clostridium botulinum	Botulism (and Infant botulism)	Human Pathogen Wikipedia
Coccidioides immitis	Coccidioidomycosis	Human Pathogen Wikipedia
Coccidioides posadasii	Coccidioidomycosis	Human Pathogen Wikipedia
Cordylobia anthropophaga	Tumbu Fly	Human Pathogen Wikipedia
Cryptococcus neoformans	Cryptococcosis	Human Pathogen Wikipedia
Cryptosporidium	Cryptosporidiosis	Human Pathogen Wikipedia
Cryptosporidium hominis	Cryptosporidium	Human Pathogen Wikipedia
Cyclospora cayetanensis	Cyclosporiasis	Human Pathogen Wikipedia
Dermatobia hominis	Bot fly	Human Pathogen Wikipedia
Desmodesmus armatus	Desmodesmus infection	Human Pathogen Wikipedia
Dientamoeba fragilis	Dientamoebiasis	Human Pathogen Wikipedia
Diphyllobothrium	Diphyllobothriasis	Human Pathogen Wikipedia
Dracunculus medinensis	Dracunculiasis	Human Pathogen Wikipedia
Echinococcus	Echinococcosis	Human Pathogen Wikipedia
Entamoeba histolytica	Amoebiasis	Human Pathogen Wikipedia
Enterobius vermicularis	Enterobiasis (Pinworm infection)	Human Pathogen Wikipedia
Fasciola gigantica	Fasciolasis	Human Pathogen Wikipedia
Fasciola hepatica	Fasciolasis	Human Pathogen Wikipedia
Fasciolopsis buski	Fasciolopsiasis	Human Pathogen Wikipedia
Fonsecaea pedrosoi	Chromoblastomycosis	Human Pathogen Wikipedia
Geotrichum candidum	Geotrichosis	Human Pathogen Wikipedia
Giardia lamblia	Giardiasis	Human Pathogen Wikipedia
Gnathostoma spinigerum and Gnathostoma hispidum	Gnathostomiasis	Human Pathogen Wikipedia
Histoplasma capsulatum	Histoplasmosis	Human Pathogen Wikipedia
Hymenolepis nana and Hymenolepis diminuta	Hymenolepiasis	Human Pathogen Wikipedia
Isospora belli	Isosporiasis	Human Pathogen Wikipedia
Leishmania	Leishmaniasis	Human Pathogen Wikipedia
Leptospira species	Leptospirosis	Human Pathogen Wikipedia
Metagonimus yokagawai	Metagonimiasis	Human Pathogen Wikipedia
Microsporidia phylum	Microsporidiosis	Human Pathogen Wikipedia
Mycobacterium leprae and Mycobacterium lepromatosis	Leprosy	Human Pathogen Wikipedia
Naegleria fowleri	Primary amoebic meningoencephalitis (PAM)	Human Pathogen Wikipedia
Onchocerca volvulus	Onchocerciasis (River blindness)	Human Pathogen Wikipedia
Opisthorchis	Opisthorchiasis	Human Pathogen Wikipedia
Paracoccidioides brasiliensis	Paracoccidioidomycosis (South American blastomycosis)	Human Pathogen Wikipedia
Paragonimus	Paragonimiasis	Human Pathogen Wikipedia
Pediculus humanus	Pediculosis capitis (Head lice)	Human Pathogen Wikipedia
Piedraia hortae	Black piedra	Human Pathogen Wikipedia
Plasmodium	Malaria	Human Pathogen Wikipedia
Pneumocystis jirovecii	Pneumocystis pneumonia (PCP)	Human Pathogen Wikipedia
Pthirus pubis	Pediculosis pubis (pubic lice, crab lice)	Human Pathogen Wikipedia
Rhinosporidium seeberi	Rhinosporidiosis	Human Pathogen Wikipedia
Sarcoptes scabiei	Scabies	Human Pathogen Wikipedia
Schistosoma	Schistosomiasis	Human Pathogen Wikipedia
Sporothrix schenckii	Sporotrichosis	Human Pathogen Wikipedia
Strongyloides stercoralis	Strongyloidiasis	Human Pathogen Wikipedia
Taenia	Taeniasis	Human Pathogen Wikipedia
Taenia solium	Cysticercosis	Human Pathogen Wikipedia
Toxoplasma gondii	Toxoplasmosis	Human Pathogen Wikipedia
Trichomonas vaginalis	Trichomoniasis	Human Pathogen Wikipedia
Trichophyton	Ringworm	Human Pathogen Wikipedia
Trypanosoma brucei	African sleeping sickness (African trypanosomiasis)	Human Pathogen Wikipedia
Trypanosoma cruzi	Chagas disease (American trypanosomiasis)	Human Pathogen Wikipedia
Wuchereria bancrofti 	Filariasis	Human Pathogen Wikipedia
Edhazardia aedis	NA	Human Pathogen VEuPathDB
Aspergillus kawachii	NA	Human Pathogen VEuPathDB
Aspergillus versicolor	NA	Human Pathogen VEuPathDB
Aspergillus sydowii	NA	Human Pathogen VEuPathDB
Phytophthora cinnamomi	NA	Human Pathogen VEuPathDB
Trypanosoma vivax	NA	Human Pathogen VEuPathDB
Trypanosoma congolense	NA	Human Pathogen VEuPathDB
