Species,Common,Category
Medicago sativa,Alfalfa,Domesticated Plant Khouri et al. 2016
Prunus dulcis,Almonds,Domesticated Plant Khouri et al. 2016
Pimpinella anisum,Anise,Domesticated Plant Khouri et al. 2016
Illicium verum,Badia,Domesticated Plant Khouri et al. 2016
Foeniculum vulgare,Fennel,Domesticated Plant Khouri et al. 2016
Coriandrum sativum,Coriander,Domesticated Plant Khouri et al. 2016
Malus domestica,Apples,Domesticated Plant Khouri et al. 2016
Prunus armeniaca,Apricots,Domesticated Plant Khouri et al. 2016
Areca catechu,Areca nuts,Domesticated Plant Khouri et al. 2016
Cynara cardunculus,Artichokes,Domesticated Plant Khouri et al. 2016
Asparagus officinalis,Asparagus,Domesticated Plant Khouri et al. 2016
Persea americana,Avocados,Domesticated Plant Khouri et al. 2016
Vigna subterranea,Bambara beans,Domesticated Plant Khouri et al. 2016
Musa acuminata,Banana,Domesticated Plant Khouri et al. 2016
Musa balbisiana,Plantain,Domesticated Plant Khouri et al. 2016
Musa × paradisiaca,Banana Plantain hybrid,Domesticated Plant Khouri et al. 2016
Hordeum vulgare L.,Barley,Domesticated Plant Khouri et al. 2016
Phaseolus,Beans,Domesticated Plant Khouri et al. 2016
Vaccinium corymbosum,Blueberries,Domesticated Plant Khouri et al. 2016
Vaccinium,Blueberries and others,Domesticated Plant Khouri et al. 2016
Bertholletia excelsa,Brazil nuts,Domesticated Plant Khouri et al. 2016
Fagopyrum esculentum,Buckwheat,Domesticated Plant Khouri et al. 2016
Brassica oleracea,Cabbages,Domesticated Plant Khouri et al. 2016
Ceratonia siliqua,Carob,Domesticated Plant Khouri et al. 2016
Daucus carota,Carrots & turnips,Domesticated Plant Khouri et al. 2016
Brassica rapa,Turnips,Domesticated Plant Khouri et al. 2016
Anacardium occidentale,Cashew,Domesticated Plant Khouri et al. 2016
Manihot esculenta,Cassava,Domesticated Plant Khouri et al. 2016
Ricinus communis,Castor oil,Domesticated Plant Khouri et al. 2016
Prunus avium ,Cherries,Domesticated Plant Khouri et al. 2016
Prunus cerasus,,Domesticated Plant Khouri et al. 2016
Castanea sativa,Chestnut,Domesticated Plant Khouri et al. 2016
Cicer arietinum,Chickpeas,Domesticated Plant Khouri et al. 2016
Cichorium intybus,Chicory roots,Domesticated Plant Khouri et al. 2016
Capsicum annuum,Bell Pepper,Domesticated Plant Khouri et al. 2016
Capsicum chinense ,Habenero,Domesticated Plant Khouri et al. 2016
Capsicum,Chillies and Peppers,Domesticated Plant Khouri et al. 2016
Cinnamomum,Cinnamon,Domesticated Plant Khouri et al. 2016
Citrus,Citrus,Domesticated Plant Khouri et al. 2016
Trifolium repens,White clover,Domesticated Plant Khouri et al. 2016
Trifolium pratense,Red clover,Domesticated Plant Khouri et al. 2016
Syzygium aromaticum,Cloves,Domesticated Plant Khouri et al. 2016
Theobroma cacao,Cocoa beans,Domesticated Plant Khouri et al. 2016
Cocos nucifera,Coconuts,Domesticated Plant Khouri et al. 2016
Coffea canephora,Robusta coffee,Domesticated Plant Khouri et al. 2016
Coffea arabica,Arabica coffee,Domesticated Plant Khouri et al. 2016
Gossypium hirsutum,Upland cotton,Domesticated Plant Khouri et al. 2016
Gossypium herbaceum,Levant cotton,Domesticated Plant Khouri et al. 2016
Gossypium arboreum,Tree cotton,Domesticated Plant Khouri et al. 2016
Gossypium barbadense,Creole cotton,Domesticated Plant Khouri et al. 2016
Vigna unguiculata,Cowpeas,Domesticated Plant Khouri et al. 2016
Vaccinium macrocarpon,Cranberries,Domesticated Plant Khouri et al. 2016
Vaccinium oxycoccos,Cranberries,Domesticated Plant Khouri et al. 2016
Cucumis sativus,Cucumbers,Domesticated Plant Khouri et al. 2016
Ribes nigrum,Black current,Domesticated Plant Khouri et al. 2016
Ribes rubrum,Red current,Domesticated Plant Khouri et al. 2016
Ribes uva-crispa,Gooseberries,Domesticated Plant Khouri et al. 2016
Phoenix dactylifera,Date palm,Domesticated Plant Khouri et al. 2016
Solanum melongena,Eggplants,Domesticated Plant Khouri et al. 2016
Vicia faba,Faba beans,Domesticated Plant Khouri et al. 2016
Ficus carica,Figs,Domesticated Plant Khouri et al. 2016
Digitaria exilis,Fonio,Domesticated Plant Khouri et al. 2016
Allium sativum,Garlic,Domesticated Plant Khouri et al. 2016
Zingiber officinale,Ginger,Domesticated Plant Khouri et al. 2016
Vitis vinifera,Grapes,Domesticated Plant Khouri et al. 2016
Arachis hypogaea,Groundnut,Domesticated Plant Khouri et al. 2016
Corylus avellana,Hazelnuts,Domesticated Plant Khouri et al. 2016
Cannabis sativa,Hempseed,Domesticated Plant Khouri et al. 2016
Humulus lupulus,Hops,Domesticated Plant Khouri et al. 2016
Actinidea,Kiwi,Domesticated Plant Khouri et al. 2016
Cola,Kola nuts,Domesticated Plant Khouri et al. 2016
Allium porrum,Leeks,Domesticated Plant Khouri et al. 2016
Lens culinaris,Lentils,Domesticated Plant Khouri et al. 2016
Lactuca sativa,Lettuce,Domesticated Plant Khouri et al. 2016
Linum usitatissimum,Linseed,Domesticated Plant Khouri et al. 2016
