"animals_linnaean","Species and subspecies","Wild ancestor","Date","Location of origin","Purposes","Image","Degree and type of domestication","Extent in wild vs. captivity","Taxon group"
"Canis lupus","Domestic dog (Canis lupus familiaris)[3]","Extinct Pleistocene population of the gray wolf (Canis lupus spp.)[4]","13000 BCE[5][6]","China,[7][8][9]Europe[6]","pets, hunting, herding, guarding, pest control, draft, pack, working, show, racing, sport, meat, rescuing, guiding, fighting, service, research, policing, narcotics detection, fiber, truffle harvesting, education, therapy, leather",NA,"Tame (with exceptions),[10] significant physical changes, probably significant behavioral changes as well","Domestic and feral dogs both very common,[10] ancestor or nearest wild relative less common, but not rare","1c Carnivora"
"Capra aegagrus","Domestic goat (Capra aegagrus hircus)","Bezoar ibex (Capra aegagrus aegagrus)","10000 BCE[11][12][13]","Iran","milk, meat, fiber, skin, vellum, show, racing, fighting, clearing land, pets, horns, guarding, weed control, manure, lawn mowing",NA,"Slight physical changes","Common in captivity, threatened in the wild, feral populations common","1b Bovidae"
"Sus scrofa","Domestic pig (Sus scrofa domesticus)","Anatolian boar (Sus scrofa libycus),[14]Northern Chinese boar (Sus scrofa moupinensis)[15]","9000 BCE[16][17][18][19]","China, Western Asia","meat, leather, research, show, racing, fighting, truffle harvesting, pets, tusks, guarding, manure, weed control",NA,"Some physical changes","Common in the wild, much more common in captivity, feral animals common in some areas","1a Artiodactyla except Bovidae"
"Ovis aries","Domestic sheep (Ovis aries)[3]","Unknown ancestor,[20] possibly the Armenian mouflon (Ovis gmelini gmelini)","9000 BCE to 8500 BCE[21][22]","Anatolia, Iran","meat, milk, fiber, leather, pelts, vellum, pets, show, racing, research, guarding, fighting, ornamental, horns, lawn mowing, weed control, hides, manure",NA,"Some physical changes","Common in captivity, threatened in the wild","1b Bovidae"
"Bos primigenius","European cattle or taurine cattle (Bos primigenius taurus)[3][23][24]","Eurasian aurochs (Bos primigenius primigenius)†","8000 BCE[25][26]","China,[27]Western Asia","meat, milk, leather, hides, working, plowing, draft, vellum, blood, soil fertilization, fighting, show, racing, pets, horns, guarding, dung, mount, fiber, weed control, lawn mowing",NA,"Some physical changes","Very common in captivity, wild relatives extinct, feral cattle fairly common","1b Bovidae"
"Bos primigenius","Zebu, Brahman cattle, indicine cattle or humped cattle (Bos primigenius indicus)[3]","Indian aurochs (Bos primigenius namadicus)†","8000 BCE","India","meat, milk, leather, hides, working, plowing, draft, vellum, blood, soil fertilization, fighting, show, racing, pets, horns, dung, mount, lawn mowing",NA,"Considerable physical changes","Common in captivity, wild relatives extinct","1b Bovidae"
"Felis catus","Domestic cat or house cat (Felis catus)[3]","North African wildcat (Felis lybica lybica)[28]","8000–7500 BCE[28]","the Near East","pets, meat, pest control, show, pelts, research",NA,"Tame, some physical changes","Very abundant in captivity; true wild cats less abundant, though not rare, feral populations very common","1c Carnivora"
"Gallus gallus","Domestic chicken (Gallus gallus domesticus)","Indian red junglefowl (Gallus gallus murghi) with some contribution from the Grey junglefowl (Gallus sonneratii)","6000 BCE[29]","India and Southeast Asia","meat, eggs, feathers, leather, show, racing, ornamental, fighting, pest control, pets, guarding, manure, weed control",NA,"Some physical changes, considerable reproductive changes","Very common in the wild and in captivity","2b Galliformes"
"Cavia porcellus","Guinea pig (Cavia porcellus)","Montane guinea pig (Cavia tschudii)","5000 BCE","Peru","pets, meat, show, racing, research, lawn mowing, weed control, manure",NA,"Tame, slight physical changes","Somewhat common in the wild and in captivity","1d Rodentia"
"Equus africanus","Domestic donkey or domestic ass (Equus africanus asinus)","Nubian wild ass (Equus africanus africanus), Somali wild ass (Equus africanus somaliensis)[30]","5000 BCE[31][32]","Egypt","pack, working, plowing, draft, mount, meat, milk, pets, racing, guarding, lawn mowing, manure, weed control",NA,"Slight physical changes","Somewhat common in captivity and as feral animals, wild relatives critically endangered","1e Other mammals"
"Anas platyrhynchos","Domestic duck (Anas platyrhynchos domesticus)","Common mallard (Anas platyrhynchos platyrhynchos)","4000 BCE","China","meat, feathers, eggs, pets, show, ornamental, guarding, pest control, weed control, manure",NA,"Considerable physical changes","Common in captivity, but more abundant in the wild","2a Anseriformes"
"Bubalus bubalis","Domestic water buffalo (Bubalus bubalis)[3]","Wild water buffalo (Bubalus arnee)","4000 BCE","India, China, the Philippines","working, plowing, draft, mount, fighting, meat, show, racing, milk, horns, dung, lawn mowing",NA,"Mainly unchanged from the wild animal","Common in captivity, endangered in the wild","1b Bovidae"
"Camelus dromedarius","Dromedary or Arabian camel (Camelus dromedarius)[33]","Thomas's camel (Camelus thomasi)†[34]","4000 BCE","Arabia, the Horn of Africa","pack, hunting, mount, show, milk, meat, pets, urine",NA,"Tame, few physical changes","Moderately common in captivity, small feral population in original range, significant feral population in Australia, truly wild dromedaries may be extinct","1a Artiodactyla except Bovidae"
"Equus ferus","Domestic horse (Equus ferus caballus)","Extinct unknown population of the wild horse, possibly the tarpan or European wild horse (Equus ferus ferus)†[35]","3500 BCE[36]","Kazakhstan","milk, meat, working, guiding, servicing, execution, plowing, draft, mount, pack, fighting, show, racing, pets, hair, manure, lawn mowing, weed control",NA,"Tame, some physical changes, mainly in coloration","Common in captivity, very rare in the wild, feral populations common","1e Other mammals"
