Species,Common,Category
Triticum,Wheat,Domesticated Plant Cereal
Oryza,Rice,Domesticated Plant Cereal
Hordeum,Barley,Domesticated Plant Cereal
Zea mays,Corn,Domesticated Plant Cereal
Secale cereale,Rye,Domesticated Plant Cereal
Avena,Oats,Domesticated Plant Cereal
Echinocloa frumentacea,Millet,Domesticated Plant Cereal
Eleusine coracana,Japanese Millet,Domesticated Plant Cereal
Eragrostis abyssinica,Teff,Domesticated Plant Cereal
Panicum miliaceum,Golden Millet,Domesticated Plant Cereal
Paspalum scrobiculatum,Ditch Millet,Domesticated Plant Cereal
Pennisetum glaucum,Pearl Millet,Domesticated Plant Cereal
Setaria italica,Foxtail Millet,Domesticated Plant Cereal
Sorghum,Sorghum,Domesticated Plant Cereal
Fagopyrum,Buckwheat,Domesticated Plant Cereal
Chenopodum quinoa,Quinoa,Domesticated Plant Cereal
Digitaria,Fonio,Domesticated Plant Cereal
Phalaris canariensis,Canary Seed,Domesticated Plant Cereal
Gylcine max,Soybean,Domesticated Plant Other
Medicago sativa,Alfalfa,Domesticated Plant Other
Lagenaria siceraria,Calabash,Domesticated Plant Other
Cannabis sativa,Marijuana,Domesticated Plant Other
Cannabis indica,Marijuana,Domesticated Plant Other
Theobroma cacoa,Chocolate,Domesticated Plant Other
Cola acuminata,Cola,Domesticated Plant Other
Cola nitida,Cola,Domesticated Plant Other
Coffea arabica,Coffee,Domesticated Plant Other
Papaver somniferum,Opium,Domesticated Plant Other
Nicotiana tabacum,Tobacco,Domesticated Plant Other
Camellia sinensis,Tea,Domesticated Plant Other
Gossypium,Cotton,Domesticated Plant Other
Linum usitatissimum,Flax,Domesticated Plant Other
Agave fourcroydes,Sisal,Domesticated Plant Other
Corchorus capsularis,White Jute,Domesticated Plant Other
Corchorus capsularis,Tossa Jute,Domesticated Plant Other
Hibiscus cannabinus,Kenaf,Domesticated Plant Other
Cinnamomum verum,Cinnamon,Domesticated Plant Other
Pimenta dioica,Allspice,Domesticated Plant Other
Coriandrum sativum,Cilantro,Domesticated Plant Other
Cuminum cyminum,Cumin,Domesticated Plant Other
Jasminum,Jasmine,Domesticated Plant Other
Cymbopogon,Lemongrass,Domesticated Plant Other
Myristica fragrans,Nutmeg,Domesticated Plant Other
Origanum vulgare,Oregano,Domesticated Plant Other
Petroselinum crispum,Parsley,Domesticated Plant Other
Mentha balsamea,Peppermint,Domesticated Plant Other
Salvia rosmarinus,Rosemary,Domesticated Plant Other
Croceus sativus,Saffron,Domesticated Plant Other
Mentha spicata,Spearmint,Domesticated Plant Other
Thymus vulgaris,Thyme,Domesticated Plant Other
Saccharum officinarum,Sugar Cane,Domesticated Plant Other
