Species,Common,Category
Amaranthus cruentus,Amaranth,Domesticated Plant Vegetable
Eruca sativa,Arugula,Domesticated Plant Vegetable
Beta vulgaris vulgaris,Beet (greens),Domesticated Plant Vegetable
Brassica rapa ,Bok choy (白菜),Domesticated Plant Vegetable
Borago officinalis,Borage greens,Domesticated Plant Vegetable
Brassica oleracea,Broccoli (leaves / stalks),Domesticated Plant Vegetable
Veronica beccabunga,Brooklime,Domesticated Plant Vegetable
Brassica oleracea ,Brussels sprouts,Domesticated Plant Vegetable
Brassica oleracea ,Cabbage,Domesticated Plant Vegetable
Hypochaeris radicata,Catsear,Domesticated Plant Vegetable
Apium graveolens,Celery,Domesticated Plant Vegetable
Lactuca sativa ,Celtuce,Domesticated Plant Vegetable
Cnidoscolus aconitifolius aconitifolius,Chaya,Domesticated Plant Vegetable
Stellaria,Chickweed,Domesticated Plant Vegetable
Cichorium intybus,Chicory,Domesticated Plant Vegetable
Malva verticillata,Chinese mallow,Domesticated Plant Vegetable
Chrysanthemum coronarium,Garland Chrysanthemum,Domesticated Plant Vegetable
Brassica oleracea,Collard greens,Domesticated Plant Vegetable
Portulaca oleracea,Common purslane,Domesticated Plant Vegetable
Valerianella locusta,Corn salad,Domesticated Plant Vegetable
Lepidium sativum,Cress,Domesticated Plant Vegetable
Taraxacum officinale,Dandelion,Domesticated Plant Vegetable
Anethum graveolens,Dill,Domesticated Plant Vegetable
Cichorium endivia,Endive,Domesticated Plant Vegetable
Chenopodium album,Fat hen,Domesticated Plant Vegetable
Pteridium aquilinumAthyrium esculentum,Fiddlehead,Domesticated Plant Vegetable
Telfairia occidentalis,Fluted pumpkin,Domesticated Plant Vegetable
Inula crithmoides,Golden samphire,Domesticated Plant Vegetable
Chenopodium bonus-henricus,Good King Henry,Domesticated Plant Vegetable
Vitis,Grape (leaves),Domesticated Plant Vegetable
Plantago major,Greater plantain,Domesticated Plant Vegetable
Brassica rapa ,Kai-lan (芥蘭 Gai lan),Domesticated Plant Vegetable
Brassica oleracea ,Kale,Domesticated Plant Vegetable
Brassica rapa ,Komatsuna,Domesticated Plant Vegetable
Adansonia,Kuka,Domesticated Plant Vegetable
Talinum fruticosum,Lagos bologi,Domesticated Plant Vegetable
Valerianella locusta,Lamb's lettuce,Domesticated Plant Vegetable
