Species,Common,Category
Malus pumila,Apple,Domesticated Plant Fruit
Pseudocydonia sinensis,Chinese quince,Domesticated Plant Fruit
Aronia melanocarpa,Chokeberry,Domesticated Plant Fruit
Planchonia careya,Cocky apple,Domesticated Plant Fruit
Crataegus aestivalis,Eastern mayhaw,Domesticated Plant Fruit
Crataegus rhipidophylla,Hawthorn,Domesticated Plant Fruit
Genipa americana,Jagua,Domesticated Plant Fruit
Eriobotrya japonica,Loquat,Domesticated Plant Fruit
Flacourtia inermis,Lovi-lovi,Domesticated Plant Fruit
Mespilus germanica,Medlar,Domesticated Plant Fruit
Malus niedzwetzkyana,Niedzwetzky's apple,Domesticated Plant Fruit
Pyrus communis,Pear,Domesticated Plant Fruit
Cydonia oblonga,Quince,Domesticated Plant Fruit
Flacourtia indica,Ramontchi,Domesticated Plant Fruit
Rosa rugosa,Rose hip,Domesticated Plant Fruit
Sorbus aucuparia,Rowan,Domesticated Plant Fruit
Manilkara zapota,Sapodilla,Domesticated Plant Fruit
Pyracantha coccinea,Scarlet firethorn,Domesticated Plant Fruit
Amelanchier alnifolia,Serviceberry,Domesticated Plant Fruit
× Sorbopyrus irregularis,Shipova,Domesticated Plant Fruit
Sorbus domestica,Sorb,Domesticated Plant Fruit
Malus angustifolia,Southern crabapple,Domesticated Plant Fruit
Heteromeles arbutifolia,Toyon,Domesticated Plant Fruit
Euterpe oleracea,Açaí,Domesticated Plant Fruit
Malpighia emarginata,Acerola,Domesticated Plant Fruit
Irvingia gabonensis,African mango,Domesticated Plant Fruit
Garcinia livingstonei,African mangosteen,Domesticated Plant Fruit
Elaeis guineensis,African oil palm fruit,Domesticated Plant Fruit
Cornus × unalaschkensis,Alaskan bunchberry,Domesticated Plant Fruit
Spondias dulcis,Ambarella,Domesticated Plant Fruit
Elaeis oleifera,American oil palm fruit,Domesticated Plant Fruit
Prunus americana,American plum,Domesticated Plant Fruit
Prunus armeniaca,Apricot,Domesticated Plant Fruit
Mangifera pajang,Bambangan,Domesticated Plant Fruit
Prunus maritima,Beach plum,Domesticated Plant Fruit
Antidesma bunius,Bignay,Domesticated Plant Fruit
Mangifera caesia,Binjai,Domesticated Plant Fruit
Prunus serotina,Black cherry,Domesticated Plant Fruit
Parajubaea torallyi,Bolivian mountain coconut,Domesticated Plant Fruit
Syzygium australe,Brush cherry,Domesticated Plant Fruit
Dacryodes edulis,Bush butter fruit,Domesticated Plant Fruit
Cornus canadensis,Canadian bunchberry,Domesticated Plant Fruit
Casimiroa edulis,Casimiroa,Domesticated Plant Fruit
Eugenia reinwardtiana,Cedar Bay cherry,Domesticated Plant Fruit
Byrsonima crassifolia,Changunga,Domesticated Plant Fruit
Prunus avium,Cherry,Domesticated Plant Fruit
Elaeagnus multiflora,Cherry elaeagnus,Domesticated Plant Fruit
Eugenia involucrata,Cherry of the Rio Grande,Domesticated Plant Fruit
Ziziphus mauritiana,Chinese date,Domesticated Plant Fruit
Prunus virginiana,Choke cherry,Domesticated Plant Fruit
Chrysobalanus icaco,Cocoplum,Domesticated Plant Fruit
Cocos nucifera,Coconut,Domesticated Plant Fruit
Cornus mas,Cornelian cherry,Domesticated Plant Fruit
Terminalia catappa,Country-almond,Domesticated Plant Fruit
Prunus rivularis,Creek plum,Domesticated Plant Fruit
Empetrum nigrum,Crowberry,Domesticated Plant Fruit
Murraya koenigii,Curry berry,Domesticated Plant Fruit
Prunus domestica subsp. insititia,Damson,Domesticated Plant Fruit
Phoenix dactylifera,Date,Domesticated Plant Fruit
Santalum acuminatum,Desert quandong,Domesticated Plant Fruit
Phyllanthus emblica,Emblic,Domesticated Plant Fruit
Owenia acidula,Emu apple,Domesticated Plant Fruit
Litsea garciae,Engkala,Domesticated Plant Fruit
Syzygium fibrosum,Fibrous satinash,Domesticated Plant Fruit
Prunus umbellata,Flatwoods plum,Domesticated Plant Fruit
Gomortega keule,Gomortega,Domesticated Plant Fruit
Prunus domestica subsp. italica,Greengage,Domesticated Plant Fruit
Buchanania obovata,Green plum,Domesticated Plant Fruit
Myrciaria floribunda,Guavaberry,Domesticated Plant Fruit
Terminalia ferdinandiana,Gubinge,Domesticated Plant Fruit
Nephelium xerospermoides,Hairless rambutan,Domesticated Plant Fruit
Syzygium cumini,Jambolan,Domesticated Plant Fruit
Butia capitata,Jelly palm fruit,Domesticated Plant Fruit
Spondias purpurea,Jocote,Domesticated Plant Fruit
Ziziphus jujuba,Jujube,Domesticated Plant Fruit
Prunus salicina spp.,Kelsey plum,Domesticated Plant Fruit
Cocos nucifera var. aurantiaca,King coconut,Domesticated Plant Fruit
Nephelium hypoleucum,Korlan,Domesticated Plant Fruit
Buchanania arborescens,Little gooseberry,Domesticated Plant Fruit
Dimocarpus Longan,Longan,Domesticated Plant Fruit
Litchi chinensis,Lychee,Domesticated Plant Fruit
Syzygium malaccense,Malay rose apple,Domesticated Plant Fruit
Pouteria sapota,Mamey sapote,Domesticated Plant Fruit
Mangifera indica,Mango,Domesticated Plant Fruit
Bouea macrophylla,Maprang,Domesticated Plant Fruit
Sclerocarya birrea,Marula,Domesticated Plant Fruit
Synsepalum dulcificum,Miracle fruit,Domesticated Plant Fruit
Mauritia flexuosa,Moriche palm fruit,Domesticated Plant Fruit
Prunus persica var. nucipersica,Nectarine,Domesticated Plant Fruit
Azadirachta indica,Neem,Domesticated Plant Fruit
Choerospondias axillaris,Nepali hog plum,Domesticated Plant Fruit
Myristica fragrans,Nutmeg,Domesticated Plant Fruit
Phyllanthus acidus,Otaheite gooseberry,Domesticated Plant Fruit
Prunus persica,Peach,Domesticated Plant Fruit
Bunchosia glandulifera,Peanut butter fruit,Domesticated Plant Fruit
Caryocar brasiliense,Pequi,Domesticated Plant Fruit
Coccoloba diversifolia,Pigeon plum,Domesticated Plant Fruit
Canarium ovatum,Pili,Domesticated Plant Fruit
Eugenia uniflora,Pitanga,Domesticated Plant Fruit
Prunus domestica,Plum,Domesticated Plant Fruit
Nephelium mutabile,Pulasan,Domesticated Plant Fruit
Nephelium lappaceum,Rambutan,Domesticated Plant Fruit
Syzygium suborbiculare,Red bush apple,Domesticated Plant Fruit
Syzygium luehmannii,Riberry,Domesticated Plant Fruit
Sageretia theezans,Sageretia,Domesticated Plant Fruit
Serenoa repens,Saw palmetto fruit,Domesticated Plant Fruit
