"Species","Common","Category","dom_common"
"Canis lupus","Domestic dog (Canis lupus familiaris)[3]","Domesticated Animal","c(""Wolf"", ""Gray Wolf"", ""Lobo gris"", ""loup"")"
"Capra aegagrus","Domestic goat (Capra aegagrus hircus)","Domesticated Animal",NA
"Sus scrofa","Domestic pig (Sus scrofa domesticus)","Domesticated Animal","c(""wild boar"", ""pig"", ""pig (feral)"", ""Wild Boar"")"
"Ovis aries","Domestic sheep (Ovis aries)[3]","Domesticated Animal","c(""Red Sheep"", ""domestic sheep"", ""mouflon"", ""sheep (feral)"")"
"Bos primigenius","European cattle or taurine cattle (Bos primigenius taurus)[3][23][24]","Domesticated Animal",NA
"Bos primigenius","Zebu, Brahman cattle, indicine cattle or humped cattle (Bos primigenius indicus)[3]","Domesticated Animal",NA
"Felis catus","Domestic cat or house cat (Felis catus)[3]","Domesticated Animal","Domestic Cat"
"Gallus gallus","Domestic chicken (Gallus gallus domesticus)","Domesticated Animal","Red Junglefowl"
"Cavia porcellus","Guinea pig (Cavia porcellus)","Domesticated Animal",NA
"Equus africanus","Domestic donkey or domestic ass (Equus africanus asinus)","Domesticated Animal",NA
"Anas platyrhynchos","Domestic duck (Anas platyrhynchos domesticus)","Domesticated Animal","c(""Pato de collar"", ""Mallard"", ""canard colvert"")"
"Bubalus bubalis","Domestic water buffalo (Bubalus bubalis)[3]","Domesticated Animal","c(""water buffalo"", ""water buffalo (feral)"", ""Water Buffalo"", ""domestic water buffalo"")"
"Camelus dromedarius","Dromedary or Arabian camel (Camelus dromedarius)[33]","Domesticated Animal",NA
"Equus ferus","Domestic horse (Equus ferus caballus)","Domesticated Animal","c(""Russian wild horse"", ""Tarpan"")"
"Bombyx mori","Domestic silkmoth (Bombyx mori)","Domesticated Animal","c(""silkworm"", ""ver à soie"")"
"Columba livia","Domestic pigeon (Columba livia domestica)","Domesticated Animal","c(""Paloma doméstica"", ""Rock Dove"", ""pigeon biset"", ""Common Pigeon"", ""Rock Pigeon"")"
"Anser anser","Domestic goose and domestic swan goose (Anser anser domesticus and Anser cygnoides domesticus)","Domesticated Animal",NA
"Bos grunniens","Domestic yak (Bos grunniens)[3]","Domesticated Animal","c(""grunting ox"", ""yak"", ""Yak"", ""domestic yak"")"
"Camelus bactrianus","Domestic Bactrian camel (Camelus bactrianus)","Domesticated Animal","c(""Bactrian camel"", ""Bactrian Camel"")"
"Lama glama","Llama (Lama glama)[3]","Domesticated Animal",NA
"Vicugna pacos","Alpaca (Vicugna pacos)[3]","Domesticated Animal",NA
"Numida meleagris","Domestic guineafowl (Numida meleagris domesticus)","Domesticated Animal","Helmeted Guineafowl"
"Lycalopex culpaeus","Fuegian dog (Lycalopex culpaeus)†","Domesticated Animal",NA
"Mustela putorius","Domestic ferret (Mustela putorius furo)","Domesticated Animal",NA
"Cairina moschata","Domestic Muscovy duck (Cairina moschata domestica)","Domesticated Animal",NA
"Streptopelia risoria","Barbary dove or ringed turtle dove (Streptopelia risoria)","Domesticated Animal",NA
"Bos javanicus","Bali cattle (Bos javanicus domesticus)","Domesticated Animal",NA
"Bos frontalis","Gayal (Bos frontalis)[3]","Domesticated Animal",NA
"Meleagris gallopavo","Domestic turkey (Meleagris gallopavo domesticus)","Domesticated Animal","c(""Guajolote norteño"", ""Wild Turkey"", ""dindon sauvage"")"
"Carassius auratus","Domestic goldfish (Carassius auratus)","Domesticated Animal",NA
"Oryctolagus cuniculus","Domestic rabbit (Oryctolagus cuniculus domesticus)","Domesticated Animal",NA
"Cyprinus rubrofuscus","Koi (Cyprinus rubrofuscus)","Domesticated Animal",NA
"Serinus canaria","Domestic canary (Serinus canaria domestica)","Domesticated Animal",NA
"Lonchura striata","Society finch (Lonchura striata domestica)","Domesticated Animal",NA
"Mus musculus","Fancy mouse and laboratory mouse (Mus musculus domestica)","Domesticated Animal",NA
"Poecilia reticulata","Guppy (Poecilia reticulata);[47]Cauca (P. caucana), Amazon (P. formosa), sailfin (P. latipinna), shortfin (P. mexicana), liberty (P. salvatoris), common (P. sphenops), and Yucatan mollies (P. velifera); Endler's livebearer (P. wingei)","Domesticated Animal",NA
"Rattus norvegicus","Fancy rat and laboratory rat (Rattus norvegicus domestica)","Domesticated Animal","c(""rat surmulot"", ""Brown Rat"", ""Norway Rat"")"
"Neovison vison","Domestic mink (Neovison vison domesticus)[49]","Domesticated Animal",NA
"Vulpes vulpes","Domesticated silver fox (Vulpes vulpes amicus)","Domesticated Animal",NA
"Atelerix albiventris","Domesticated hedgehog (Atelerix albiventris)","Domesticated Animal",NA
