Species,Common,Category
Anas platyrhynchos,Domestic duck (Anas platyrhynchos domesticus),Domesticated Animal
Anser anser,Domestic goose and domestic swan goose (Anser anser domesticus and Anser cygnoides domesticus),Domesticated Animal
Atelerix albiventris,Domesticated hedgehog (Atelerix albiventris),Domesticated Animal
Bombyx mori,Domestic silkmoth (Bombyx mori),Domesticated Animal
Bos frontalis,Gayal (Bos frontalis)[3],Domesticated Animal
Bos grunniens,Domestic yak (Bos grunniens)[3],Domesticated Animal
Bos javanicus,Bali cattle (Bos javanicus domesticus),Domesticated Animal
Bos primigenius,European cattle or taurine cattle (Bos primigenius taurus)[3][23][24],Domesticated Animal
Bos primigenius,"Zebu, Brahman cattle, indicine cattle or humped cattle (Bos primigenius indicus)[3]",Domesticated Animal
Bubalus bubalis,Domestic water buffalo (Bubalus bubalis)[3],Domesticated Animal
Cairina moschata,Domestic Muscovy duck (Cairina moschata domestica),Domesticated Animal
Camelus bactrianus,Domestic Bactrian camel (Camelus bactrianus),Domesticated Animal
Camelus dromedarius,Dromedary or Arabian camel (Camelus dromedarius)[33],Domesticated Animal
Capra aegagrus,Domestic goat (Capra aegagrus hircus),Domesticated Animal
Carassius auratus,Domestic goldfish (Carassius auratus),Domesticated Animal
Cavia porcellus,Guinea pig (Cavia porcellus),Domesticated Animal
Columba livia,Domestic pigeon (Columba livia domestica),Domesticated Animal
Cyprinus rubrofuscus,Koi (Cyprinus rubrofuscus),Domesticated Animal
Equus africanus,Domestic donkey or domestic ass (Equus africanus asinus),Domesticated Animal
Equus caballus,Domestic horse (Equus ferus caballus),Domesticated Animal
Felis catus,Domestic cat or house cat (Felis catus)[3],Domesticated Animal
Gallus gallus,Domestic chicken (Gallus gallus domesticus),Domesticated Animal
Lama glama,Llama (Lama glama)[3],Domesticated Animal
Lonchura striata,Society finch (Lonchura striata domestica),Domesticated Animal
Lycalopex culpaeus,Fuegian dog (Lycalopex culpaeus)†,Domesticated Animal
Meleagris gallopavo,Domestic turkey (Meleagris gallopavo domesticus),Domesticated Animal
Mephitis mephitis,Domesticated striped skunk (Mephitis mephitis),Domesticated Animal
Mus musculus,Fancy mouse and laboratory mouse (Mus musculus domestica),Domesticated Animal
Mustela putorius,Domestic ferret (Mustela putorius furo),Domesticated Animal
Neovison vison,Domestic mink (Neovison vison domesticus)[49],Domesticated Animal
Numida meleagris,Domestic guineafowl (Numida meleagris domesticus),Domesticated Animal
Oryctolagus cuniculus,Domestic rabbit (Oryctolagus cuniculus domesticus),Domesticated Animal
Ovis aries,Domestic sheep (Ovis aries)[3],Domesticated Animal
Penaeus vannamei,whiteleg shrimp,Domesticated Animal
Poecilia reticulata,"Guppy (Poecilia reticulata);[47]Cauca (P. caucana), Amazon (P. formosa), sailfin (P. latipinna), shortfin (P. mexicana), liberty (P. salvatoris), common (P. sphenops), and Yucatan mollies (P. velifera); Endler's livebearer (P. wingei)",Domesticated Animal
Rattus norvegicus,Fancy rat and laboratory rat (Rattus norvegicus domestica),Domesticated Animal
Ruditapes philippinarum,Manila clam,Domesticated Animal
Serinus canaria,Domestic canary (Serinus canaria domestica),Domesticated Animal
Streptopelia risoria,Barbary dove or ringed turtle dove (Streptopelia risoria),Domesticated Animal
Sus scrofa,Domestic pig (Sus scrofa domesticus),Domesticated Animal
Vicugna pacos,Alpaca (Vicugna pacos)[3],Domesticated Animal
Vulpes vulpes amicus,Domesticated silver fox (Vulpes vulpes amicus),Domesticated Animal
Anser cygnoides,Swan Goose,Domesticated Animal Student
