"","dom","dom_common"
"1","Actinidia chinensis","kiwi"
"2","Allium cepa","garden onion"
"3","Amaranthus","pigweed"
"4","Amaranthus caudatus","c(""quelite"", ""love-lies-bleeding"")"
"5","Amaranthus dubius","spleen amaranth"
"6","Amaranthus hybridus","c(""green pigweed"", ""smooth amaranth"", ""smooth pigweed"", ""slim amaranth"")"
"7","Amaranthus hypochondriacus","c(""Prince-of-Wales-feather"", ""Prince-of-Wales feather"")"
"8","Amaranthus tricolor","Joseph's-coat"
"9","Amorphophallus paeoniifolius","whitespot giant arum"
"10","Ananas comosus","c(""Piña"", ""pineapple"")"
"11","Ananas comosus var. bracteatus","NA"
"12","Ananas comosus var. microstachys","NA"
"13","Anas platyrhynchos","c(""Pato de collar"", ""Mallard"", ""canard colvert"")"
"14","Anser cygnoides","Swan Goose"
"15","Anser cygnoides domesticus","NA"
"16","Apis mellifera","c(""honey bee"", ""abeille domestique"")"
"17","Arachis hypogaea","peanut"
"18","Ascomycota","c(""ascomiceto"", ""ascomycètes"", ""asco's"", ""ascomycetes"", ""sac fungi"")"
"19","Asparagus officinalis","c(""asparagus"", ""garden-asparagus"", ""garden asparagus"")"
"20","Aspergillus niger","NA"
"21","Aspergillus oryzae","NA"
"22","Begonia x hiemalis","NA"
"23","Benincasa hispida","waxgourd"
"24","Beta vulgaris","common beet"
"25","Beta vulgaris subsp. vulgaris","NA"
"26","Bison bison","c(""American bison"", ""bison"", ""Bisonte americano"", ""American Bison"")"
"27","Bombyx mandarina","NA"
"28","Bombyx mori","c(""silkworm"", ""ver à soie"")"
"29","Bos grunniens","c(""grunting ox"", ""yak"", ""Yak"", ""domestic yak"")"
"30","Bos indicus","c(""Brahma cattle"", ""zebu cattle"")"
"31","Bos taurus","c(""aurochs"", ""domesticated cattle"", ""domestic cattle (feral)"", ""Aurochs"")"
"32","Brachypodium distachyon","c(""purple false brome"", ""purple falsebrome"")"
"33","Brassica juncea","c(""India mustard"", ""Chinese mustard"", ""Indian mustard"")"
"34","Brassica napus","c(""turnip"", ""rape"")"
"35","Brassica napus subsp. rapifera","NA"
"36","Brassica napus var. napus","c(""rape"", ""winter rape"", ""summer rape"")"
"37","Brassica napus var. pabularia","Siberian kale"
"38","Brassica oleracea","cabbage"
"39","Brassica oleracea var. botrytis","broccoli"
"40","Brassica oleracea var. capitata","cabbage"
