Species,Common,Category
Actinomyces,Actinomycosis,HumanPathogen Species
Trypanosoma brucei,African sleeping sickness (African trypanosomiasis),HumanPathogen Species
Entamoeba histolytica,Amoebiasis,HumanPathogen Species
Anaplasma species,Anaplasmosis,HumanPathogen Species
Angiostrongylus,Angiostrongyliasis,HumanPathogen Species
Anisakis,Anisakiasis,HumanPathogen Species
Ascaris lumbricoides,Ascariasis,HumanPathogen Species
Aspergillus species,Aspergillosis,HumanPathogen Species
Babesia species,Babesiosis,HumanPathogen Species
Bacteroides species,Bacteroides infection,HumanPathogen Species
Balantidium coli,Balantidiasis,HumanPathogen Species
Baylisascaris species,Baylisascaris infection,HumanPathogen Species
Piedraia hortae,Black piedra,HumanPathogen Species
Blastocystis species,Blastocystosis,HumanPathogen Species
Blastomyces dermatitidis,Blastomycosis,HumanPathogen Species
Clostridium botulinum; Note: Botulism is not an infection by Clostridium botulinum but caused by the intake of botulinum toxin.,Botulism (and Infant botulism),HumanPathogen Species
Brucella species,Brucellosis,HumanPathogen Species
Burkholderia cepacia and other Burkholderia species,Burkholderia infection,HumanPathogen Species
Campylobacter species,Campylobacteriosis,HumanPathogen Species
Candida,Candidiasis (Moniliasis; Thrush),HumanPathogen Species
"Intestinal disease by Capillaria philippinensis, hepatic disease by Capillaria hepatica and pulmonary disease by Capillaria aerophila",Capillariasis,HumanPathogen Species
Streptococcus and Staphylococcus,Cellulitis,HumanPathogen Species
Trypanosoma cruzi,Chagas disease (American trypanosomiasis),HumanPathogen Species
Fonsecaea pedrosoi,Chromoblastomycosis,HumanPathogen Species
Batrachochytrium dendrabatidis,Chytridiomycosis,HumanPathogen Species
Clonorchis sinensis,Clonorchiasis,HumanPathogen Species
Coccidioides immitis and Coccidioides posadasii,Coccidioidomycosis,HumanPathogen Species
PRNP,Creutzfeldt–Jakob disease (CJD),HumanPathogen Species
Cryptococcus neoformans,Cryptococcosis,HumanPathogen Species
Cryptosporidium species,Cryptosporidiosis,HumanPathogen Species
Ancylostoma braziliense; other parasites,Cutaneous larva migrans (CLM),HumanPathogen Species
Cyclospora cayetanensis,Cyclosporiasis,HumanPathogen Species
Taenia solium,Cysticercosis,HumanPathogen Species
Green algae Desmodesmus armatus,Desmodesmus infection,HumanPathogen Species
Dientamoeba fragilis,Dientamoebiasis,HumanPathogen Species
