"","lab","lab_common"
"1","Abelmoschus esculentus","c(""okra"", ""gumbo"", ""lady's finger"")"
"2","Acipenser ruthenus","sterlet"
"3","Acipenser sinensis","c(""Chinese sturgeon"", ""Sagami sturgeon"")"
"4","Aedes albopictus","forest day mosquito"
"5","Aiptasia","NA"
"6","Ambystoma","Mole Salamanders"
"7","Ambystoma californiense","California Tiger Salamander"
"8","Ambystoma californiense x Ambystoma tigrinum","NA"
"9","Ampelopsis glandulosa var. brevipedunculata","NA"
"10","Anelosimus studiosus","NA"
"11","Anopheles dirus","NA"
"12","Anopheles gambiae","NA"
"13","Aotus nancymaae","c(""Ma's Night Monkey"", ""Nancy Ma's Night Monkey"")"
"14","Apis mellifera","c(""honey bee"", ""abeille domestique"")"
"15","Apis mellifera capensis","NA"
"16","Aquilegia","columbine"
"17","Arabidopsis","rockcress"
"18","Arabidopsis arenosa","NA"
"19","Arabidopsis halleri","NA"
"20","Arabidopsis lyrata","lyrate rockcress"
"21","Arachis duranensis","NA"
"22","Arachis hypogaea","peanut"
"23","Arachis hypogaea subsp. fastigiata","NA"
"24","Arachis hypogaea var. aequatoriana","NA"
"25","Arachis hypogaea var. hirsuta","NA"
"26","Arachis hypogaea var. hypogaea","NA"
"27","Arachis hypogaea var. peruviana","NA"
"28","Arachis hypogaea var. vulgaris","NA"
"29","Arachis ipaensis x Arachis duranensis","NA"
"30","Arachis monticola","peanut"
"31","Armillaria ostoyae","NA"
"32","Aspergillus fumigatus","NA"
"33","Aspergillus nidulans","NA"
"34","Asymmetron lucayanum","NA"
"35","Atalantia buxifolia","NA"
"36","Avena atlantica","NA"
"37","Avena damascena","NA"
"38","Avena eriantha","NA"
"39","Avena hirtula","NA"
"40","Avena strigosa","lopsided oat"
"41","Bactrocera dorsalis","oriental fruit fly"
"42","Barbarea vulgaris","c(""yellow rocket"", ""garden yellow rocket"", ""winter cress"", ""garden yellowrocket"")"
"43","Bombus terrestris","c(""Buff tailed bumblebee"", ""Buff-tailed bumblebee"", ""Buff-tailed Humble-bee"", ""Large Earth Humble-bee"")"
"44","Bos taurus","c(""aurochs"", ""domesticated cattle"", ""domestic cattle (feral)"", ""Aurochs"")"
"45","Brachiaria humidicola","NA"
"46","Brachypodium distachyon","c(""purple false brome"", ""purple falsebrome"")"
"47","Brassica napus","c(""turnip"", ""rape"")"
"48","Brassica rapa","c(""rape mustard"", ""rape"", ""bird's rape"", ""birdsrape mustard"", ""wild mustard"", ""wild rutabaga"", ""wild turnip"", ""turnip rape"", ""field mustard"")"
"49","Bremia lactucae","NA"
"50","Brugia malayi","NA"
"51","Caenorhabditis nouraguensis x Caenorhabditis becei","NA"
