#Non Wild Species used to filter BioProjects from the INSDC SRA in Crandall et al. Metadata preservation and stewardship for genomic data is possible, but must happen now
#Please see the supplemental materials of Toczydlowski et al. 2021 PNAS for how this list was compiled https://doi.org/10.1073/pnas.2107934118
Species	Common	Category	Source
Canis lupus familiaris	Dog	Domesticated Animal	Wikipedia
Corchorus olitorius	Jute	Domesticated Plant	Wikipedia
Saccharomyces pastorianus	Beer yeast	Domesticated Fungus	Wikipedia
Anas platyrhynchos	Domestic Duck	Domesticated Animal	FAO
Anser anser	Greylag Goose	Domesticated Animal	FAO
Anser cygnoides	Swan	Domesticated Animal	FAO
Bos bubalis carabensis	Swamp buffalo	Domesticated Animal	FAO
Bos frontalis	Mithun	Domesticated Animal	FAO
Bos grunniens	Yak	Domesticated Animal	FAO
Bos indicus	Zebu cattle	Domesticated Animal	FAO
Bos javanicus	Bali cattle	Domesticated Animal	FAO
Bos taurus	Taurine cattle	Domesticated Animal	FAO
Bubalus bubalis	River buffalo	Domesticated Animal	FAO
Cairina moschata	Muscovy Duck	Domesticated Animal	FAO
Camelus bactrianus	Bactrian camel	Domesticated Animal	FAO
Camelus dromedarius	Dromedary	Domesticated Animal	FAO
Capra hircus	Goat	Domesticated Animal	FAO
Equus asinus	Donkey	Domesticated Animal	FAO
Equus caballus	Horse	Domesticated Animal	FAO
Gallus domesticus	Chicken	Domesticated Animal	FAO
Lama glama	Llama	Domesticated Animal	FAO
Meleagris gallopavo	Turkey	Domesticated Animal	FAO
Oryctolagus cuniculus	Rabbit	Domesticated Animal	FAO
Ovis aries	Sheep	Domesticated Animal	FAO
Rangifer tarandus	Reindeer	Domesticated Animal	FAO
Sus scrofa	Pig	Domesticated Animal	FAO
Vicugna pacos	Alpaca	Domesticated Animal	FAO
Apis mellifera	"c(""honey bee"", ""abeille domestique"")"	Domesticated Animal	Student
Melopsittacus undulatus	Budgerigar	Domesticated Animal	Student
Rattus rattus	"c(""rat noir"", ""House Rat"", ""Black Rat"", ""Roof Rat"")"	Domesticated Animal	Student
Bombyx mori	Domestic silkmoth (Bombyx mori)	Domesticated Animal	Wikipedia
Bos primigenius	European cattle or taurine cattle (Bos primigenius taurus)[3][23][24]	Domesticated Animal	Wikipedia
Capra aegagrus	Domestic goat (Capra aegagrus hircus)	Domesticated Animal	Wikipedia
Carassius auratus	Domestic goldfish (Carassius auratus)	Domesticated Animal	Wikipedia
Cavia porcellus	Guinea pig (Cavia porcellus)	Domesticated Animal	Wikipedia
Columba livia	Domestic pigeon (Columba livia domestica)	Domesticated Animal	Wikipedia
Cyprinus rubrofuscus	Koi (Cyprinus rubrofuscus)	Domesticated Animal	Wikipedia
Equus africanus	Domestic donkey or domestic ass (Equus africanus asinus)	Domesticated Animal	Wikipedia
Felis catus	Domestic cat or house cat (Felis catus)[3]	Domesticated Animal	Wikipedia
Gallus gallus domesticus	Domestic chicken (Gallus gallus domesticus)	Domesticated Animal	Wikipedia
Lonchura striata	Society finch (Lonchura striata domestica)	Domesticated Animal	Wikipedia
Lycalopex culpaeus	Fuegian dog (Lycalopex culpaeus)†	Domesticated Animal	Wikipedia
Mus musculus	Fancy mouse and laboratory mouse (Mus musculus domestica)	Domesticated Animal	Wikipedia
Numida meleagris	Domestic guineafowl (Numida meleagris domesticus)	Domesticated Animal	Wikipedia
Poecilia reticulata	Guppy	Domesticated Animal	Wikipedia
Rattus norvegicus	Fancy rat and laboratory rat (Rattus norvegicus domestica)	Domesticated Animal	Wikipedia
Serinus canaria	Domestic canary (Serinus canaria domestica)	Domesticated Animal	Wikipedia
Streptopelia risoria	Barbary dove or ringed turtle dove (Streptopelia risoria)	Domesticated Animal	Wikipedia
Vulpes vulpes amicus	Domesticated silver fox (Vulpes vulpes amicus)	Domesticated Animal	Wikipedia
Anadara granosa	Blood cockle	Domesticated Aquaculture	FAO
Apostichopus japonicus	Japanese sea cucumber	Domesticated Aquaculture	FAO
Carassius carassius	Crucian carp	Domesticated Aquaculture	FAO
Catla catla	Catla	Domesticated Aquaculture	FAO
Channa argus	Snakehead	Domesticated Aquaculture	FAO
Chanos chanos	Milkfish	Domesticated Aquaculture	FAO
Clarias	Torpedo-shaped catfishes nei	Domesticated Aquaculture	FAO
Crassostrea gigas	Pacific cupped oyster	Domesticated Aquaculture	FAO
Ctenopharyngodon idellus	Grass carp	Domesticated Aquaculture	FAO
Cyprinus carpio	Common carp	Domesticated Aquaculture	FAO
Eriocheir sinensis	Chinese mitten crab	Domesticated Aquaculture	FAO
Eucheuma	Eucheuma seaweeds nei	Domesticated Aquaculture	FAO
Gracilaria	Gracilaria seaweeds	Domesticated Aquaculture	FAO
Hypophthalmichthys molitrix	Silver carp	Domesticated Aquaculture	FAO
Hypophthalmichthys nobilis	Bighead carp	Domesticated Aquaculture	FAO
Kappaphycus alvarezii	Elkhorn sea moss	Domesticated Aquaculture	FAO
Labeo rohita	Roho labeo	Domesticated Aquaculture	FAO
Laminaria japonica	Japanese kelp	Domesticated Aquaculture	FAO
Macrobrachium nipponense	Oriental river prawn	Domesticated Aquaculture	FAO
Macrobrachium rosenbergii	Giant river prawn	Domesticated Aquaculture	FAO
Megalobrama amblycephala	Wuchang bream	Domesticated Aquaculture	FAO
Mylopharyngodon piceus	Black carp	Domesticated Aquaculture	FAO
Mytilus chilensis	Chilean mussel	Domesticated Aquaculture	FAO
Oncorhynchus mykiss	Rainbow trout	Domesticated Aquaculture	FAO
Oreochromis	Tilapias nei	Domesticated Aquaculture	FAO
Oreochromis niloticus	Nile tilapia	Domesticated Aquaculture	FAO
Pangasius	Pangas catfishes nei	Domesticated Aquaculture	FAO
Penaeus monodon	Giant tiger prawn	Domesticated Aquaculture	FAO
Penaeus vannamei	Whiteleg shrimp	Domesticated Aquaculture	FAO
Porphyra tenera	Nori	Domesticated Aquaculture	FAO
Procambarus clarkii	Red swamp crawfish	Domesticated Aquaculture	FAO
Ruditapes philippinarum	Manila Clam	Domesticated Aquaculture	FAO
Salmo salar	Atlantic salmon	Domesticated Aquaculture	FAO
Sargassum fusiforme	Fusiform sargassum	Domesticated Aquaculture	FAO
Sinonovacula constricta	Constricted tagelus	Domesticated Aquaculture	FAO
Trionyx sinensis	Chinese softshell turtle	Domesticated Aquaculture	FAO
Undaria pinnatifida	Wakame	Domesticated Aquaculture	FAO
Saccharomyces cerevisiae	Beer Yeast	Domesticated Fungus	Wikipedia
Alocasia cucullata	chinese taro	Domesticated Plant	GRIN Food
Alocasia macrorrhizos	giant taro	Domesticated Plant	GRIN Food
Artocarpus altilis	breadfruit	Domesticated Plant	GRIN Food
Artocarpus heterophyllus	jackfruit	Domesticated Plant	GRIN Food
Bambusa bambos	thorny bamboo	Domesticated Plant	GRIN Food
Bambusa beecheyana	Beechey's bamboo	Domesticated Plant	GRIN Food
Bambusa tulda	bamboo	Domesticated Plant	GRIN Food
Bambusa tuldoides	puntingpole bamboo	Domesticated Plant	GRIN Food
Calamus rotang	rattan	Domesticated Plant	GRIN Food
Capparis spinosa	caper	Domesticated Plant	GRIN Food
Chrysophyllum albidum	white star apple	Domesticated Plant	GRIN Food
Chrysophyllum cainito	star apple	Domesticated Plant	GRIN Food
Cucumis anguria	West Indian gherkin	Domesticated Plant	GRIN Food
Cucumis metuliferus	African horned cucumber	Domesticated Plant	GRIN Food
Cucurbita ficifolia	figleaf gourd	Domesticated Plant	GRIN Food
Cucurbita foetidissima	"c(""calabazilla"", ""wild gourd"", ""wild pumkin"", ""buffalo gourd"", ""buffalogourd pumpkin"", ""Missouri gourd"")"	Domesticated Plant	GRIN Food
Curcuma amada	mango ginger	Domesticated Plant	GRIN Food
Curcuma angustifolia	East Indian arrowroot	Domesticated Plant	GRIN Food
Dendrocalamus asper	giant bamboo	Domesticated Plant	GRIN Food
Dendrocalamus latiflorus	giant bamboo	Domesticated Plant	GRIN Food
Dendrocalamus strictus	male bamboo	Domesticated Plant	GRIN Food
Dialium guineense	velvet tamarind	Domesticated Plant	GRIN Food
Digera muricata	false amaranth	Domesticated Plant	GRIN Food
Digitaria iburua	black fonio	Domesticated Plant	GRIN Food
Dioscorea convolvulacea	yam	Domesticated Plant	GRIN Food
Dioscorea dumetorum	bitter yam	Domesticated Plant	GRIN Food
Dioscorea esculenta	lesser yam	Domesticated Plant	GRIN Food
Dioscorea hispida	intoxicating yam	Domesticated Plant	GRIN Food
Dioscorea japonica	Japanese yam	Domesticated Plant	GRIN Food
Dioscorea pentaphylla	fiveleaf yam	Domesticated Plant	GRIN Food
Dioscorea polystachya	Chinese yam	Domesticated Plant	GRIN Food
