Relevant	hasMIDdatathonpublication	Authors_Contacted	Author_Contact_Comments	hasMIDdatathonderivedGeneticDataX	hasMIDdatathonpreservative	hasMIDdatathonpermitInformation	hasMIDdatathonyearCollected	hasMIDdatathonenvironmentalMedium	hasMIDdatathonhabitat	hasMIDdatathoncountry	hasMIDdatathoncoordinates	hasMIDdatathonlocality	hasMIDdatathonmaterialSampleID	Author_Response_Comments	hasPOSTdatathonderivedGeneticDataX	hasPOSTdatathonpreservative	hasPOSTdatathonpermitInformation	hasPOSTdatathonyearCollected	hasPOSTdatathonenvironmentalMedium	hasPOSTdatathonhabitat	hasPOSTdatathoncountry	hasPOSTdatathoncoordinates	hasPOSTdatathonlocality	hasPOSTdatathonmaterialSampleID	Metadata_Curator	Quality_Controller	datagroup	hasPOSTdatathonpublication	hasPREdatathonderivedGeneticDataX	hasPREdatathonpermitInformation	hasPREdatathonpreservative	hasPREdatathonyearCollected	hasPREdatathoncoordinates	hasPREdatathonmaterialSampleID	hasPREdatathonenvironmentalMedium	hasPREdatathonhabitat	hasPREdatathoncountry	hasPREdatathonlocality	hasPREdatathonpublication	registration_date_bioprj	author_response
TRUE	TRUE	TRUE	"materialSampleID = ""FALSE"" | locality = ""TRUE"" | coordinates = ""FALSE"" | country = ""TRUE"" | habitat = ""FALSE"" | environmentalMedium = ""FALSE"" | yearCollected = ""FALSE"" | permitInformation = ""FALSE"" | preservative = ""FALSE"" | derivedGeneticDataX = ""TRUE"""	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	"materialSampleID = ""FALSE"" | locality = ""TRUE"" | coordinates = ""FALSE"" | country = ""TRUE"" | habitat = ""FALSE"" | environmentalMedium = ""FALSE"" | yearCollected = ""FALSE"" | permitInformation = ""FALSE"" | preservative = ""FALSE"" | derivedGeneticDataX = ""TRUE"""	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	Courtney Weyand	NA	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	2/13/12	TRUE
TRUE	TRUE	FALSE	materialSampleID = TRUE|locality = TRUE|coordinates = TRUE&TRUE|country = TRUE|habitat = TRUE|environmentalMedium = TRUE|yearCollected = TRUE|permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX = FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	materialSampleID = TRUE|locality = TRUE|coordinates = TRUE&TRUE|country = TRUE|habitat = TRUE|environmentalMedium = TRUE|yearCollected = TRUE|permitInformation = FALSE|preservative = FALSE|derivedGeneticDataX = FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Randi Barton	Briana	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	3/23/12	NA
TRUE	TRUE	FALSE	materialSampleID = TRUE|locality = TRUE|coordinates = TRUE|country = TRUE|habitat = TRUE|environmentalMedium = TRUE|yearCollected = TRUE|permitInformation = TRUE|preservative = TRUE|derivedGeneticDataX = FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	materialSampleID = TRUE|locality = TRUE|coordinates = TRUE|country = TRUE|habitat = TRUE|environmentalMedium = TRUE|yearCollected = TRUE|permitInformation = TRUE|preservative = TRUE|derivedGeneticDataX = FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Justin Berg	Michelle	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	4/20/12	NA
TRUE	TRUE	TRUE	"materialSampleID = ""FALSE, Table S3 has no info to match materialSampleID to info in paper"" | locality = ""SOME"" | coordinates = ""FALSE"" | country = ""TRUE"" | habitat =""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""FALSE"" | permitInformation = ""FALSE"" | preservative = ""FALSE"" | derivedGeneticDataX = ""FALSE"""	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	SOME	FALSE	"materialSampleID = ""FALSE, Table S3 has no info to match materialSampleID to info in paper"" | locality = ""SOME"" | coordinates = ""FALSE"" | country = ""TRUE"" | habitat =""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""FALSE"" | permitInformation = ""FALSE"" | preservative = ""FALSE"" | derivedGeneticDataX = ""FALSE"""	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	SOME	FALSE	Ann Holmes	NA	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	SOME	SOME	TRUE	5/30/12	FALSE
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates = ""SOME"" | country = ""TRUE"" | habitat =""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""SOME"" | permitInformation = ""TRUE"" | preservative = ""FALSE"" | derivedGeneticDataX = ""FALSE"""	FALSE	FALSE	TRUE	SOME	TRUE	TRUE	TRUE	SOME	TRUE	TRUE	"materialSampleID = ""TRUE"" | locality = ""TRUE"" | coordinates = ""SOME"" | country = ""TRUE"" | habitat =""TRUE"" | environmentalMedium = ""TRUE"" | yearCollected = ""SOME"" | permitInformation = ""TRUE"" | preservative = ""FALSE"" | derivedGeneticDataX = ""FALSE"""	FALSE	FALSE	TRUE	SOME	TRUE	TRUE	TRUE	SOME	TRUE	TRUE	Ann Holmes	Eric	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	6/25/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""TRUE""| locality = ""TRUE""| coordinates = ""FALSE""| country = ""TRUE""| habitat = ""TRUE""| environmentalMedium = ""TRUE""| yearCollected = ""FALSE""| permitInformation = ""FALSE""| preservative = ""TRUE""| derivedGeneticDataX = ""TRUE"""	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	"materialSampleID = ""TRUE""| locality = ""TRUE""| coordinates = ""FALSE""| country = ""TRUE""| habitat = ""TRUE""| environmentalMedium = ""TRUE""| yearCollected = ""TRUE""| permitInformation = ""FALSE""| preservative = ""TRUE""| derivedGeneticDataX = ""TRUE"""	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Eric Crandall	Eric Crandall	marine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	7/13/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID= ""FALSE"" | locality= ""FALSE"" | coordinates= ""FALSE"" |country= ""FALSE"" | habitat= ""FALSE"" | environmentalMedium= ""FALSE"" | yearCollected= ""FALSE"" | permitInformation= ""FALSE"" | preservative= ""FALSE"" | derivedGeneticDataX= ""FALSE"""	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"materialSampleID= ""FALSE"" | locality= ""FALSE"" | coordinates= ""FALSE"" |country= ""FALSE"" | habitat= ""FALSE"" | environmentalMedium= ""FALSE"" | yearCollected= ""FALSE"" | permitInformation= ""FALSE"" | preservative= ""FALSE"" | derivedGeneticDataX= ""FALSE"""	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Courtney Weyand	NA	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	7/26/12	FALSE
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"materialSampleID = ""true"" | locality = ""true"" | coordinates = ""true"" | country = ""true"" | habitat = ""true"" | environmentalMedium = ""true"" | yearCollected ""false"" | permitInformation = ""false"" | preservative = ""false | derivedGeneticDataX =""false"" |"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alonso Delgado	Andrea	nonmarine	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	11/9/12	TRUE
