project_acc_bioprj	project_index	BioSamples	Runs
PRJDB3777	E0019	56	95
PRJDB5116	E0020	131	155
PRJDB7819	M0001	257	257
PRJNA169236	E0034	24	41
PRJNA17052	E0035	7	7
PRJNA170681	M0002	30	30
PRJNA171348	E0038	78	78
PRJNA179308	E0050	8	8
PRJNA179309	E0051	6	6
PRJNA179310	E0052	7	7
PRJNA179311	E0053	6	6
PRJNA179312	E0054	5	5
PRJNA179313	E0055	5	5
PRJNA179314	E0056	5	5
PRJNA182127	E0059	14	14
PRJNA186661	E0064	6	6
PRJNA189299	E0066	13	13
PRJNA189439	E0067	66	129
PRJNA192205	E0070	66	71
PRJNA196490	E0076	281	281
PRJNA196706	E0077	24	24
PRJNA196978	E0078	7	7
PRJNA203139	E0086	22	22
PRJNA206554	E0092	35	35
PRJNA210803	E0102	48	48
PRJNA211878	E0103	30	30
PRJNA217703	E0110	5	5
PRJNA219211	E0113	7	7
PRJNA222638	E0117	20	20
PRJNA222716	E0119	12	13
PRJNA226620	E0122	30	30
PRJNA227063	E0123	10	10
PRJNA230139	E0127	51	51
PRJNA237460	E0142	18	18
PRJNA243918	M0003	120	120
PRJNA244776	E0153	9	9
PRJNA245756	E0156	107	107
PRJNA245911	E0158	10	10
PRJNA247503	M0004	206	300
PRJNA251586	E0170	10	10
PRJNA251880	E0172	5	6
PRJNA252628	E0173	24	72
PRJNA252891	E0174	123	246
PRJNA253681	M0005	10	10
PRJNA254402	E0179	18	18
PRJNA254412	E0180	14	14
PRJNA254516	E0181	13	13
PRJNA254545	E0182	18	18
PRJNA254839	E0185	5	5
PRJNA258098	E0194	12	12
PRJNA258112	E0195	80	80
PRJNA260464	E0196	9	9
PRJNA260715	E0197	44	44
PRJNA261083	E0202	17	17
PRJNA263122	E0208	238	238
PRJNA268034	E0216	24	24
PRJNA269361	E0220	12	12
PRJNA269950	E0222	22	22
PRJNA271514	E0227	34	34
PRJNA272943	E0231	76	76
PRJNA274411	E0238	28	28
PRJNA274877	E0241	32	32
PRJNA277574	E0250	24	24
PRJNA277692	E0251	181	299
PRJNA278868	E0253	449	449
PRJNA279205	E0255	269	538
PRJNA279926	E0260	43	43
PRJNA280451	E0262	89	89
PRJNA280774	M0006	144	144
PRJNA280898	M0007	113	113
PRJNA281764	M0009	14	203
PRJNA283338	E0275	24	27
PRJNA284197	E0276	6	6
PRJNA285131	E0279	11	11
PRJNA286089	M0010	134	134
PRJNA286304	E0285	19	19
PRJNA286949	M0011	90	90
PRJNA288911	E0294	24	24
PRJNA289113	E0295	288	288
PRJNA289595	E0299	46	46
PRJNA289933	E0301	13	13
PRJNA291308	E0307	59	59
PRJNA292018	E0312	99	99
PRJNA292080	E0313	35	35
PRJNA292578	E0316	19	19
PRJNA294316	E0325	11	11
PRJNA294357	E0326	5	5
PRJNA295022	E0329	65	65
PRJNA295681	E0333	179	358
PRJNA295865	E0336	28	28
PRJNA296600	E0338	216	216
PRJNA296706	E0339	6	12
PRJNA297163	E0342	38	38
PRJNA297824	E0347	6	6
PRJNA299226	E0349	199	199
PRJNA301002	E0354	18	18
PRJNA301349	E0356	11	11
PRJNA301892	E0358	60	60
PRJNA301984	E0360	93	93
PRJNA303111	E0365	191	191
PRJNA304156	E0369	39	39
PRJNA304164	E0370	30	30
PRJNA304592	E0374	6	6
PRJNA306495	E0382	3630	3980
PRJNA306861	E0384	6	6
PRJNA307574	E0386	40	40
PRJNA308791	E0392	53	53
PRJNA308870	E0394	45	45
PRJNA309080	E0395	9	9
PRJNA309742	E0400	18	18
PRJNA310297	E0402	5	107
PRJNA311498	M0013	61	61
PRJNA311981	M0014	128	128
PRJNA312115	E0407	7	21
PRJNA313908	E0416	321	321
PRJNA314185	M0015	128	128
PRJNA314305	E0417	30	30
PRJNA314732	M0016	30	30
PRJNA315945	E0422	31	31
PRJNA315970	E0423	128	128
PRJNA318056	E0428	27	27
