"model" "mean" "median" "95% CI" "p-value"
"datathonderivedGeneticDataX" "-0.372" "-0.352" "(-0.877 - 0.049)" "0.076"
"datathonpermitInformation" "-0.555" "-0.508" "(-1.31 - 0.003)" "0.058"
"datathonyearCollected" "-0.174" "-0.17" "(-0.363 - 0)" "0.048"
"datathonmaterialSampleID" "-0.259" "-0.251" "(-0.638 - 0.129)" "0.204"
"datathonpreservative" "-0.438" "-0.422" "(-0.873 - -0.081)" "0.014"
"datathoncoordinates" "-0.151" "-0.152" "(-0.386 - 0.05)" "0.19"
"datathonlocality" "0.035" "0.039" "(-0.359 - 0.423)" "0.83"
"datathoncountry" "-0.187" "-0.175" "(-0.693 - 0.248)" "0.45"
"datathonhabitat" "-0.055" "-0.055" "(-0.492 - 0.374)" "0.834"
"datathonenvironmentalMedium" "-0.533" "-0.507" "(-1.286 - 0.078)" "0.096"
"datathonpublication" "-6.054" "-5" "(-20.998 - 6.145)" "0.382"
"datathonspatiotemp" "-0.211" "-0.208" "(-0.385 - -0.052)" "0.008"
