"model" "mean" "median" "95% CI" "p-value"
"datathonderivedGeneticDataX" "-0.358" "-0.346" "(-0.832 - 0.05)" "0.08"
"datathonpermitInformation" "-0.564" "-0.528" "(-1.269 - 0.015)" "0.058"
"datathonyearCollected" "-0.204" "-0.202" "(-0.386 - -0.032)" "0.026"
"datathonmaterialSampleID" "-0.221" "-0.226" "(-0.641 - 0.206)" "0.292"
"datathonspatiotemp" "-0.2" "-0.198" "(-0.399 - -0.006)" "0.046"
"datathonpreservative" "-0.389" "-0.384" "(-0.777 - -0.022)" "0.038"
"datathoncoordinates" "-0.234" "-0.231" "(-0.515 - 0.033)" "0.094"
"datathonlocality" "0.251" "0.235" "(-0.213 - 0.789)" "0.312"
"datathonhabitat" "-0.071" "-0.071" "(-0.514 - 0.341)" "0.75"
"datathoncountry" "0.14" "0.14" "(-0.452 - 0.699)" "0.622"
"datathonenvironmentalMedium" "-0.571" "-0.541" "(-1.33 - 0.033)" "0.076"
"datathonpublication" "-6.009" "-4.984" "(-21.62 - 5.47)" "0.458"
